total_flow_packets,total_fw_packets,total_bw_packets,flow_duration,flow_down_up_ratio,flow_total_SYN_flag,flow_total_RST_flag,flow_total_PSH_flag,flow_total_ACK_flag,flow_total_URG_flag,flow_total_CWE_flag,flow_total_ECE_flag,flow_total_FIN_flag,flow_total_http_get_packets,flow_total_http_2xx_packets,flow_total_http_4xx_packets,flow_total_http_5xx_packets,flow_websocket_packts_per_second,fw_websocket_packts_per_second,bw_websocket_packts_per_second,flow_websocket_bytes_per_second,fw_websocket_bytes_per_second,bw_websocket_bytes_per_second,flow_total_websocket_ping_packets,flow_total_websocket_pong_packets,flow_total_websocket_close_packets,flow_total_websocket_data_messages,flow_total_ocpp16_heartbeat_packets,flow_total_ocpp16_resetHard_packets,flow_total_ocpp16_resetSoft_packets,flow_total_ocpp16_unlockconnector_packets,flow_total_ocpp16_starttransaction_packets,flow_total_ocpp16_remotestarttransaction_packets,flow_total_ocpp16_authorize_not_accepted_packets,flow_total_ocpp16_setchargingprofile_packets,flow_avg_ocpp16_setchargingprofile_limit,flow_max_ocpp16_setchargingprofile_limit,flow_min_ocpp16_setchargingprofile_limit,flow_avg_ocpp16_setchargingprofile_minchargingrate,flow_min_ocpp16_setchargingprofile_minchargingrate,flow_max_ocpp16_setchargingprofile_minchargingrate,flow_total_ocpp16_metervalues,flow_min_ocpp16_metervalues_soc,flow_max_ocpp16_metervalues_soc,flow_avg_ocpp16_metervalues_wh_diff,flow_max_ocpp16_metervalues_wh_diff,flow_min_ocpp16_metervalues_wh_diff,label
1722,956,766,119772670.0,0.801255230125523,0,0,957,1722,0,0,0,0,0,0,0,0,7.990136648e-06,3.9908937489e-06,3.999242899e-06,0.0006111577874986,0.0002633989874317,0.0003477588000668,0,0,0,957,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
11,6,5,8698.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
49,24,25,115092438.0,1.0416666666666667,0,0,25,49,0,0,0,0,0,0,0,0,2.172167036725732e-07,1.0426401776283513e-07,1.1295268590973804e-07,3.55018980482e-05,4.4485980912e-06,3.1053299957e-05,5,4,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
124,60,64,113437407.0,1.0666666666666669,0,0,65,124,0,0,0,0,0,0,0,0,5.730032245888696e-07,2.820938951822127e-07,2.909093294066569e-07,6.06149257272e-05,1.01201184896e-05,5.04948072376e-05,4,4,0,57,0,0,0,0,4,5,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
1665,958,707,119867829.0,0.7379958246346555,3,0,956,1663,0,0,0,0,1,0,0,0,7.9587659838e-06,3.9793829919e-06,3.9793829919e-06,0.0006100719484958,0.0002635819824516,0.0003464899660441,0,0,0,954,476,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
13,8,5,60102628.0,0.625,0,0,9,13,0,0,0,0,0,0,0,0,8.319103783614919e-08,3.327641513445968e-08,4.9914622701689524e-08,3.6604056647905653e-07,1.996584908067581e-07,1.6638207567229838e-07,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
49,24,25,113003743.0,1.0416666666666667,0,0,25,49,0,0,0,0,0,0,0,0,2.212316100007413e-07,1.0619117280035582e-07,1.150404372003855e-07,3.61934913961e-05,4.5485219016e-06,3.16449694945e-05,5,4,0,16,2,0,0,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
11,6,5,14287.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
41,20,21,109902866.0,1.05,0,0,21,41,0,0,0,0,0,0,0,0,1.9107781957205738e-07,9.098943789145589e-08,1.0008838168060149e-07,2.54952404971e-05,3.4030049771e-06,2.209223552e-05,5,4,0,12,2,0,0,0,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
126,63,63,106718135.0,1.0,0,0,65,126,0,0,0,0,0,0,0,0,6.090811088480886e-07,2.9985531512521284e-07,3.092257937228757e-07,6.44314108375e-05,1.07573094301e-05,5.36741014074e-05,4,4,0,57,0,0,0,0,4,5,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
41,20,21,105840543.0,1.05,0,0,21,41,0,0,0,0,0,0,0,0,1.984116804842923e-07,9.448175261156777e-08,1.0392992787272453e-07,2.64359943807e-05,3.5147211971e-06,2.29212731835e-05,5,4,0,12,2,0,0,0,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
6,3,3,32296810.0,1.0,0,1,2,5,0,0,0,4,0,0,0,0,6.19256205179397e-08,3.096281025896985e-08,3.096281025896985e-08,3.715537231e-06,1.857768615538191e-07,3.5297603695e-06,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
49,24,25,108531571.0,1.0416666666666667,0,0,25,49,0,0,0,0,0,0,0,0,2.3034772066461658e-07,1.1056690591901596e-07,1.197808147456006e-07,3.76480314654e-05,4.7175213192e-06,3.29305101462e-05,5,4,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
52,25,27,119943595.0,1.08,0,0,26,52,0,0,0,0,0,0,0,0,2.167685569204425e-07,1.0838427846022125e-07,1.0838427846022125e-07,3.41827339759e-05,4.3687201471e-06,2.98140138287e-05,5,5,0,16,2,0,0,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
41,20,21,103643959.0,1.05,0,0,21,41,0,0,0,0,0,0,0,0,2.026167294516413e-07,9.648415688173393e-08,1.0613257256990732e-07,2.69962670955e-05,3.589210636e-06,2.34070564595e-05,5,4,0,12,2,0,0,0,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
100,59,41,104076991.0,0.6949152542372882,3,1,42,97,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
11,6,5,4850.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
49,24,25,115532617.0,1.0416666666666667,0,0,25,49,0,0,0,0,0,0,0,0,2.1638910854066443e-07,1.0386677209951889e-07,1.1252233644114545e-07,3.54012581572e-05,4.4489600715e-06,3.09522980856e-05,5,4,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
99,49,50,114238801.0,1.020408163265306,0,0,53,99,0,0,0,0,0,0,0,0,4.6394044349257483e-07,2.27593425109565e-07,2.3634701838300985e-07,4.61226829577e-05,3.75354079565e-05,8.5872750012e-06,5,4,0,44,0,0,0,0,3,4,3,0,0.0,0,0,0.0,0,0,6,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
125,63,62,107741573.0,0.984126984126984,0,0,67,125,0,0,0,0,0,0,0,0,6.218583795876082e-07,3.062884556177772e-07,3.155699239698311e-07,6.2984044237e-05,5.22175409486e-05,1.07665032883e-05,6,5,0,56,0,0,0,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
42,20,22,119990809.0,1.1,0,0,22,42,0,0,0,0,0,0,0,0,1.8334737621445653e-07,9.167368810722833e-08,9.167368810722833e-08,2.33017847225e-05,2.01848793268e-05,3.1169053956e-06,4,6,0,12,2,0,0,0,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
80,40,40,110059458.0,1.0,0,0,41,80,0,0,0,0,0,0,0,0,3.725259123118706e-07,1.817199572253028e-07,1.9080595508656784e-07,5.38617953215e-05,4.41942935971e-05,9.6675017243e-06,4,4,0,33,0,0,0,0,0,4,0,0,0.0,0,0,0.0,0,0,13,0.0,0.0,1.5,2,0,normal
11,6,5,79490.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
11,6,5,20841.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
11,6,5,7777.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
47,23,24,119779043.0,1.0434782608695652,0,0,25,47,0,0,0,0,0,0,0,0,2.0871764687583965e-07,1.0018447050040297e-07,1.0853317637543657e-07,3.88882719659e-05,2.98048799738e-05,9.083391992e-06,4,4,0,17,2,0,0,0,0,0,0,7,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
27,9,18,15713316.0,2.0,3,0,16,25,0,0,0,0,1,0,0,0,8.909640714919754e-07,2.545611632834215e-07,6.364029082085538e-07,0.0002604160700389,3.64022463495e-05,0.0002240138236894,0,0,0,14,0,0,0,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
11,6,5,13507.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
45,22,23,113128583.0,1.0454545454545454,0,0,23,45,0,0,0,0,0,0,0,0,2.0330847775225826e-07,9.723448935977569e-08,1.0607398839248257e-07,3.04609136667e-05,3.9247375705e-06,2.65361760961e-05,5,4,0,14,2,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
48,23,25,103640546.0,1.0869565217391304,0,0,25,48,0,0,0,0,0,0,0,0,2.4121833553443457e-07,1.157848010565286e-07,1.2543353447790598e-07,3.94247247597e-05,4.9401515117e-06,3.4484573248e-05,5,4,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
11,6,5,18783.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
11,6,5,58215.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
80,40,40,110249789.0,1.0,0,0,41,80,0,0,0,0,0,0,0,0,3.718827978890736e-07,1.814062428727188e-07,1.9047655501635482e-07,5.37688103874e-05,4.41179982666e-05,9.6508121208e-06,4,4,0,33,0,0,0,0,0,4,0,0,0.0,0,0,0.0,0,0,13,0.0,0.0,1.5,2,0,normal
48,24,24,114608846.0,1.0,0,0,25,48,0,0,0,0,0,0,0,0,2.181332495050164e-07,1.0470395976240786e-07,1.1342928974260853e-07,3.5686599619e-05,4.4848196098e-06,3.12017800091e-05,5,4,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
45,22,23,112287553.0,1.0454545454545454,0,0,23,45,0,0,0,0,0,0,0,0,2.048312514210725e-07,9.79627724187738e-08,1.068684790022987e-07,3.06890648868e-05,3.954133723e-06,2.67349311637e-05,5,4,0,14,2,0,0,0,0,0,0,5,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
1750,942,808,119988612.0,0.8577494692144374,0,0,960,1750,0,0,0,0,0,0,0,0,8.000759272e-06,3.9920455117e-06,4.0087137602e-06,0.0006120580843122,0.0002634750037778,0.0003485830805343,0,0,0,960,480,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
109,49,60,114991693.0,1.2244897959183674,0,0,60,109,0,0,0,0,0,0,0,0,5.217768208700084e-07,2.521921300871708e-07,2.695846907828377e-07,5.46213368647e-05,4.61946412076e-05,8.426695657e-06,5,4,0,51,0,0,0,0,3,3,3,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
11,6,5,7707.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
11,6,5,4449.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
11,6,5,10142.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
45,22,23,112627389.0,1.0454545454545454,0,0,23,45,0,0,0,0,0,0,0,0,2.042132043032624e-07,9.766718466677764e-08,1.0654601963648469e-07,3.05609499657e-05,3.9244450566e-06,2.66365049091e-05,5,4,0,14,2,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
49,24,25,114309612.0,1.0416666666666667,0,0,25,49,0,0,0,0,0,0,0,0,2.187042678440725e-07,1.0497804856515481e-07,1.1372621927891769e-07,3.57800182192e-05,4.4965597468e-06,3.12834584724e-05,5,4,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
48,23,25,113413094.0,1.0869565217391304,0,0,25,48,0,0,0,0,0,0,0,0,2.2043310096098785e-07,1.0580788846127417e-07,1.1462521249971365e-07,3.0525575821e-05,4.0030651134e-06,2.65225107076e-05,6,5,0,14,2,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
123,62,61,111409394.0,0.9838709677419356,0,0,65,123,0,0,0,0,0,0,0,0,5.834337452728628e-07,2.872289207497171e-07,2.962048245231457e-07,6.07668685461e-05,5.04086755915e-05,1.03581929545e-05,5,4,0,56,0,0,0,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
124,64,60,119101740.0,0.9375,0,0,65,124,0,0,0,0,0,0,0,0,5.457518924576585e-07,2.686778547483857e-07,2.7707403770927284e-07,5.6439141863e-05,4.69514551172e-05,9.4876867458e-06,5,4,0,56,0,0,0,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
1710,943,767,119789113.0,0.8133616118769883,0,0,962,1710,0,0,0,0,0,0,0,0,8.0307798923e-06,3.990345934e-06,4.0404339583e-06,0.0006147052779328,0.0002633628316456,0.0003513424462872,0,0,0,962,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
114,54,60,109032965.0,1.1111111111111112,0,0,60,114,0,0,0,0,0,0,0,0,5.502922900427409e-07,2.6597460685399135e-07,2.843176831887494e-07,6.46501725418e-05,5.57629520576e-05,8.8872204841e-06,5,4,0,51,0,0,0,0,3,3,3,0,0.0,0,0,0.0,0,0,9,0.0,0.0,0.125,1,0,cyberattack_ocpp16_doc_idtag
11,6,5,8445.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
11,6,5,13770.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
1721,944,777,119809357.0,0.823093220338983,0,0,963,1721,0,0,0,0,0,0,0,0,8.0377695374e-06,3.9896716915e-06,4.0480978459e-06,0.000615327565776,0.0002633183316391,0.0003520092341368,0,0,0,963,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
2,1,1,0.0,1.0,0,0,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,2,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
40,20,20,107595912.0,1.0,0,0,21,40,0,0,0,0,0,0,0,0,1.9517470143289458e-07,9.294033401566409e-08,1.0223436741723049e-07,2.60418815911e-05,3.4759684921e-06,2.2565913099e-05,5,4,0,12,2,0,0,0,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
45,22,23,104252098.0,1.0454545454545454,0,0,23,45,0,0,0,0,0,0,0,0,2.2061906130656482e-07,1.0551346410313968e-07,1.151055972034251e-07,3.30544906635e-05,4.2589070965e-06,2.8795583567e-05,5,4,0,14,2,0,0,0,0,0,0,5,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
119,56,63,100143995.0,1.125,0,0,63,119,0,0,0,0,0,0,0,0,6.290941358990122e-07,3.09554257347133e-07,3.195398785518793e-07,6.57852724968e-05,5.53802552015e-05,1.04050172953e-05,5,4,0,54,0,0,0,0,4,3,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
113,56,57,119687735.0,1.0178571428571428,0,0,59,113,0,0,0,0,0,0,0,0,4.929494237651001e-07,2.422971743930153e-07,2.5065224937208483e-07,5.05565586983e-05,4.14161066712e-05,9.1404520271e-06,5,4,0,50,0,0,0,0,4,4,4,0,0.0,0,0,0.0,0,0,7,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
17,9,8,60082616.0,0.8888888888888888,0,0,10,17,0,0,0,0,0,0,0,0,8.321874666708919e-08,3.328749866683568e-08,4.9931248000253526e-08,3.661624853351925e-07,1.997249920010141e-07,1.664374933341784e-07,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
45,22,23,118929747.0,1.0454545454545454,0,0,23,45,0,0,0,0,0,0,0,0,1.933914817795753e-07,9.249157824240557e-08,1.0089990353716973e-07,3.37510177331e-05,2.51913425831e-05,8.55967515e-06,4,4,0,15,2,0,0,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
1711,947,764,119829937.0,0.8067581837381204,0,0,960,1711,0,0,0,0,0,0,0,0,8.0113536235e-06,3.9889864917e-06,4.0223671318e-06,0.0006130438005654,0.0002632731084553,0.0003497706921101,0,0,0,960,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
11,6,5,8338.0,0.8333333333333334,3,0,2,9,0,0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
14,4,10,22992716.0,2.5,0,0,10,14,0,0,0,0,0,0,0,0,4.349203460782973e-07,8.698406921565942e-08,3.479362768626377e-07,0.0001295192790621,1.7831734189e-06,0.0001277361056431,2,1,0,7,1,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
